10,100,1000,282,0.282
20,400,1000,361,0.361
30,900,1000,891,0.891
40,1600,1000,1353,1.353
50,2500,1000,2225,2.225
60,3600,1000,3090,3.09
70,4900,1000,4711,4.711
80,6400,1000,5619,5.619
90,8100,1000,7311,7.311
100,10000,1000,11723,11.723
110,12100,1000,15312,15.312
120,14400,1000,19032,19.032
130,16900,1000,22711,22.711
140,19600,1000,27521,27.521
150,22500,1000,34255,34.255
160,25600,1000,39934,39.934
170,28900,1000,48977,48.977
180,32400,1000,54340,54.34
190,36100,1000,64703,64.703
200,40000,1000,69414,69.414
210,44100,1000,80682,80.682
220,48400,1000,86729,86.729
230,52900,1000,101358,101.358
240,57600,1000,106336,106.336
250,62500,1000,117496,117.496
260,67600,1000,131594,131.594
270,72900,1000,142050,142.05
280,78400,1000,152966,152.966
290,84100,1000,171450,171.45
300,90000,1000,185784,185.784
310,96100,1000,210219,210.219
320,102400,1000,207512,207.512
330,108900,1000,233719,233.719
340,115600,1000,231728,231.728
350,122500,1000,270100,270.1
360,129600,1000,274292,274.292
370,136900,1000,292081,292.081
380,144400,1000,295624,295.624
390,152100,1000,297661,297.661
400,160000,1000,310900,310.9
410,168100,1000,360996,360.996
420,176400,1000,359526,359.526
430,184900,1000,375981,375.981
440,193600,1000,370431,370.431
450,202500,1000,396448,396.448
460,211600,1000,423821,423.821
470,220900,1000,478389,478.389
480,230400,1000,449574,449.574
490,240100,1000,494721,494.721
500,250000,1000,498712,498.712
510,260100,1000,538587,538.587
520,270400,1000,525981,525.981
530,280900,1000,551337,551.337
540,291600,1000,570759,570.759
550,302500,1000,559169,559.169
560,313600,1000,604598,604.598
570,324900,1000,586505,586.505
580,336400,1000,651136,651.136
590,348100,1000,722221,722.221
600,360000,1000,677563,677.563
610,372100,1000,776751,776.751
620,384400,1000,709897,709.897
630,396900,1000,739545,739.545
640,409600,1000,776241,776.241
650,422500,1000,828666,828.666
660,435600,1000,827305,827.305
670,448900,1000,1087770,1087.77
680,462400,1000,1003901,1003.9
690,476100,1000,912007,912.007
700,490000,1000,905314,905.314
710,504100,1000,1135047,1135.05
720,518400,1000,954480,954.48
730,532900,1000,1094585,1094.59
740,547600,1000,977335,977.335
750,562500,1000,890001,890.001
760,577600,1000,1046082,1046.08
770,592900,1000,1039832,1039.83
780,608400,1000,1057169,1057.17
790,624100,1000,1329838,1329.84
800,640000,1000,1184133,1184.13
810,656100,1000,1255354,1255.35
