kappa,lambda,mag
1.0,3.0,0.318707
4.0,0.0,0.126515
0.0,1.0,0.0091266701510989
1.5,1.5,2.14501
4.5,2.0,3.09895
2.5,3.0,1.52744
4.5,2.5,2.8076912500000004
3.5,0.0,0.54069
0.0,4.0,0.0109429952074162
3.0,2.0,2.57816
2.0,4.5,0.3915
3.0,0.5,4.858988514851484
0.5,3.5,0.00392848
0.0,0.0,0.0003099498365248
0.0,1.5,0.009079447914
2.5,1.0,3.2152008474576275
3.5,2.0,2.76329
1.5,4.5,0.745417
4.0,2.5,2.66324
0.0,3.5,0.010722341745449
4.5,3.0,2.5943
2.0,2.0,2.01785
1.5,1.0,2.530343333333333
0.5,0.5,1.9836239185393263
0.5,2.0,0.476663
1.5,3.5,0.208734
3.5,1.5,3.13514
4.0,1.5,3.34047
0.5,4.0,0.113137
1.5,4.0,0.681651
1.5,0.5,3.435809961538461
1.0,1.5,1.48364
0.5,2.5,0.311481
4.0,2.0,2.93624
2.0,2.5,1.11364
3.5,1.0,3.7779633333333336
1.5,2.5,1.46622
4.0,4.5,2.01038
4.5,1.5,3.531485
0.5,1.0,1.44052
4.5,4.0,2.30011
2.5,3.5,0.62291
3.0,3.0,2.18173
3.0,4.5,0.552533
0.5,0.0,2.60306
2.0,4.0,0.621803
4.5,3.5,2.2995
4.0,4.0,1.80733
0.0,2.5,0.0119817384805147
1.5,0.0,0.526738
3.5,3.5,2.00858
2.5,0.0,0.470333
3.5,4.0,1.91196
2.5,2.5,2.03066
4.0,0.5,5.6106702
4.5,1.0,4.267024975124378
2.5,1.5,2.687675
0.0,4.5,0.0119088515343749
3.0,1.0,3.5078512331838563
0.5,3.0,0.168469
0.5,4.5,0.0337542999999999
4.0,3.0,2.46395
3.5,3.0,2.32833
1.0,4.0,0.588905
1.0,3.5,0.004226815
4.0,1.0,4.0297600000000005
3.0,1.5,2.921774117647059
0.5,1.5,0.215932
2.0,1.5,2.43307
0.0,2.0,0.0103675645218724
0.0,3.0,0.0115707855022657
3.0,4.0,1.06858
1.0,2.0,0.909349
1.0,0.0,0.369931
3.5,0.5,5.2483088
2.5,4.5,0.926129
2.0,1.0,2.89310568
1.5,2.0,1.80265
1.0,4.5,0.217254
0.0,0.5,0.0012730637216085
2.5,2.0,2.22834
2.5,0.5,4.43562674556213
2.0,0.0,0.279616
1.0,2.5,0.464872
2.5,4.0,1.04714
3.0,0.0,0.637826
3.5,2.5,2.51314
1.0,1.0,2.1059158823529414
4.5,4.5,1.89145
2.0,3.5,1.31635
2.0,3.0,1.47019
1.0,0.5,2.805324784313725
4.0,3.5,2.27973
2.0,0.5,3.967343740458016
4.5,0.0,0.28505
3.0,2.5,2.30501
4.5,0.5,5.951021428571429
3.5,4.5,1.5368
3.0,3.5,2.0106
1.5,3.0,1.0264
